replay_buffer/size,trainer/QF1 Loss,trainer/QF2 Loss,trainer/Policy Loss,trainer/Q1 Predictions Mean,trainer/Q1 Predictions Std,trainer/Q1 Predictions Max,trainer/Q1 Predictions Min,trainer/Q2 Predictions Mean,trainer/Q2 Predictions Std,trainer/Q2 Predictions Max,trainer/Q2 Predictions Min,trainer/Q Targets Mean,trainer/Q Targets Std,trainer/Q Targets Max,trainer/Q Targets Min,trainer/Log Pis Mean,trainer/Log Pis Std,trainer/Log Pis Max,trainer/Log Pis Min,trainer/Policy mu Mean,trainer/Policy mu Std,trainer/Policy mu Max,trainer/Policy mu Min,trainer/Policy log std Mean,trainer/Policy log std Std,trainer/Policy log std Max,trainer/Policy log std Min,trainer/Alpha,trainer/Alpha Loss,exploration/num steps total,exploration/num paths total,exploration/path length Mean,exploration/path length Std,exploration/path length Max,exploration/path length Min,exploration/Rewards Mean,exploration/Rewards Std,exploration/Rewards Max,exploration/Rewards Min,exploration/Returns Mean,exploration/Returns Std,exploration/Returns Max,exploration/Returns Min,exploration/Actions Mean,exploration/Actions Std,exploration/Actions Max,exploration/Actions Min,exploration/Num Paths,exploration/Average Returns,evaluation/num steps total,evaluation/num paths total,evaluation/path length Mean,evaluation/path length Std,evaluation/path length Max,evaluation/path length Min,evaluation/Rewards Mean,evaluation/Rewards Std,evaluation/Rewards Max,evaluation/Rewards Min,evaluation/Returns Mean,evaluation/Returns Std,evaluation/Returns Max,evaluation/Returns Min,evaluation/Actions Mean,evaluation/Actions Std,evaluation/Actions Max,evaluation/Actions Min,evaluation/Num Paths,evaluation/Average Returns,time/data storing (s),time/evaluation sampling (s),time/exploration sampling (s),time/logging (s),time/saving (s),time/training (s),time/epoch (s),time/total (s),Epoch
200,28.831505,28.803682,-6.6669736,-0.00053559674,0.0015585244,0.0031842245,-0.0037250337,0.0020673338,0.0012440725,0.0057915966,-0.0007902398,5.274193,1.0042785,7.5259714,-1.6702341,-6.6677146,0.66232705,-4.761644,-8.533362,-0.00043232585,0.00098044,0.0021882216,-0.0034340678,0.00024626649,0.0008254534,0.0028766177,-0.0022387267,0.9997000694274902,-0.0,200,4,50.0,28.0,78,22,-1.30994503670792,0.08194729131510167,-1.15740178114862,-1.670234125639136,-65.49725183539601,36.38498683668619,-29.112264998709822,-101.8822386720822,-0.014783899,0.62487346,0.9972027,-0.99608535,2,-65.49725183539601,400,2,200.0,0.0,200,200,-1.252268618049191,0.012977999564249257,-1.2029823420737742,-1.2697351067693443,-250.4537236098382,2.490876728276703,-247.9628468815615,-252.9446003381149,-0.00039221317,0.00080541585,0.001328441,-0.0017279718,2,-250.4537236098382,0.000805277144536376,64.25620159506798,18.3198521588929,0.0027935090474784374,0.01140733202919364,2.105403410969302,84.69646328315139,136.04512057011016,0
300,2.277338,2.254358,-12.358889,5.5911837,0.6176898,6.8991265,3.7648132,5.594856,0.5778463,6.7651258,3.934087,5.548089,1.4258506,20.497948,-1.6702341,-6.8152223,0.35587028,-5.9248447,-7.9519405,0.010455555,0.040945124,0.10697946,-0.06916502,-0.13695951,0.010465264,-0.11346026,-0.17581151,0.9701344966888428,-0.5048015713691711,300,6,50.0,43.0,93,7,8.956003149207568,99.59435686784418,999.7863702015544,-1.4163704517262428,447.8001574603783,566.8773850002788,1014.6775424606572,-119.07722753990055,0.03096058,0.58375937,0.9978248,-0.9889589,2,447.8001574603783,800,4,200.0,0.0,200,200,-1.2356940423674798,0.01308310017679329,-1.2080128574288171,-1.2536547499512343,-247.138808473496,2.554041503483603,-244.5847669700124,-249.6928499769796,0.009661068,0.039193407,0.09028538,-0.054942034,2,-247.138808473496,0.0009886070620268583,58.57058578100987,23.102243365021423,0.0019259999971836805,0.005737466970458627,1.925945924129337,83.6074271441903,219.6549575009849,1
400,3565.3494,3571.2275,-20.174019,10.52785,9.177606,62.975056,0.27764028,10.7209835,9.095902,62.435024,0.3267553,6.6664367,62.266182,999.7864,-4.449892,-1.3259361,2.8625686,5.116889,-13.480702,0.18093494,0.8659271,1.3817581,-1.3569696,-0.29478264,0.09845777,-0.07238561,-0.47791737,0.9434628486633301,-0.6566411852836609,400,8,50.0,21.0,71,29,-1.305432222145155,0.11682802543504599,-1.0946945112887336,-1.7208469692745916,-65.27161110725775,27.107653932384398,-38.16395717487335,-92.37926503964215,0.061795544,0.68858826,0.9917912,-0.99302197,2,-65.27161110725775,1200,6,200.0,0.0,200,200,-1.4154266625536922,0.045697441022909235,-1.1688100233711112,-1.4456751883997452,-283.0853325107384,3.8354026846791385,-279.24992982605926,-286.92073519541754,0.12966351,0.6261277,0.8214687,-0.8182166,2,-283.0853325107384,0.0015400988049805164,64.9706496950239,22.557758710812777,0.0017654909752309322,0.0056792928371578455,1.804092288017273,89.34148557647131,308.9989165815059,2
500,173.31088,175.67102,-21.500175,6.8517838,12.836268,68.6391,0.32936114,6.8553658,12.931887,68.65027,0.16394223,4.70529,2.9343207,18.907793,-3.127677,1.1710424,6.264387,13.84867,-8.787907,0.19623344,1.0724618,1.9616151,-2.013637,-0.33359653,0.16964146,-0.000973281,-0.6778908,0.923585057258606,-0.700381338596344,500,9,100.0,0.0,100,100,-1.3927666096520885,0.0705894273600315,-1.1779854365189892,-1.5052139604375112,-139.27666096520892,0.0,-139.27666096520892,-139.27666096520892,0.090476796,0.640291,0.9974829,-0.99507934,1,-139.27666096520892,1600,8,200.0,0.0,200,200,-1.274396002643888,0.7782581777003994,9.711650601272222,-1.3764602966500965,-254.87920052877763,12.371967268870307,-242.50723325990734,-267.25116779764795,0.07824037,0.39271224,0.94103926,-0.9483155,2,-254.87920052877763,0.0013516619801521301,65.13810570095666,16.95429774513468,0.0023488381411880255,0.008502844953909516,2.333818009821698,84.43842480098829,393.43991781258956,3
600,7133.9585,7125.5776,-18.827961,9.508598,13.196591,91.4093,2.1627405,8.560611,14.132774,91.01499,1.0787663,16.507465,87.383484,999.7941,-1.720847,-1.680512,6.0738273,14.474276,-8.795975,0.18959585,0.85703176,2.1121292,-2.2526739,-0.23653178,0.1674036,-0.056438472,-0.699698,0.9024107456207275,-1.196414828300476,600,13,25.0,16.294170736800325,47,1,8.632584222823798,99.61551169529355,999.7941373960125,-1.6137200928716977,215.81460557059495,452.8029094643916,999.7941373960125,-65.89642993525668,0.13508236,0.67347014,0.9970642,-0.9968803,4,215.81460557059495,2007,11,135.66666666666666,90.98107251266912,200,7,1.201651178264693,49.556851858705045,999.6841381066662,-1.3222000510618461,163.0240098512434,594.1313752905601,1003.2524721302234,-257.5750297080618,0.059139933,0.23219618,0.9646509,-0.97284883,3,163.0240098512434,0.0007146159186959267,90.38984427205287,40.14538092794828,0.002349741058424115,0.01722527900710702,2.214750648010522,132.7702654839959,526.2131556600798,4
700,13361.564,13461.998,-38.829777,19.394161,38.680176,377.8239,3.342886,18.322983,38.356636,366.71432,3.4115758,30.372025,137.42326,999.8432,-1.6702341,2.1966164,11.564214,37.67673,-8.979034,0.27665386,1.1460332,3.413187,-3.5226293,-0.30649376,0.22630185,-0.08086418,-1.0022874,0.879796028137207,-0.997650146484375,700,19,16.666666666666668,10.994948334980428,35,3,19.956436245131584,140.03132383761903,999.9021682618614,-1.566501461939017,332.60727075219313,482.640780872821,1017.5204782741479,-46.24514070464872,0.18817984,0.75664157,0.9993623,-0.999119,6,332.60727075219313,2482,18,67.85714285714286,83.89011276907526,200,4,2.9943145650188154,64.828837434613,999.9064365364136,-1.5749495908074564,203.18563119770533,516.8266760071307,1007.6022043137272,-255.12273781614144,0.11805979,0.38916746,0.997904,-0.9983321,7,203.18563119770533,0.0009627570398151875,115.16529062693007,55.626550510991365,0.0022328579798340797,0.017901257844641805,3.4559381178114563,174.26887612859719,700.4842833701987,5
800,3600.3147,3642.1533,-34.637394,20.918026,42.73693,551.6331,4.517814,19.822565,42.510406,540.7714,5.692469,22.475769,88.64873,999.8432,-1.5547488,-2.507242,7.82136,18.996086,-8.492731,0.15884972,0.80034727,2.4688873,-2.6839821,-0.2156498,0.1716929,-0.062448956,-0.76172584,0.8579173684120178,-1.9133081436157227,800,20,100.0,0.0,100,100,-1.21526758078765,1.0976767307900699,9.69163087794803,-1.462865721596867,-121.52675807876507,0.0,-121.52675807876507,-121.52675807876507,0.068594955,0.63225794,0.9982549,-0.99508375,1,-121.52675807876507,2882,20,200.0,0.0,200,200,-1.2968327251522538,0.018180905135439695,-1.1917047969795027,-1.3741442714979917,-259.36654503045077,3.1655286444059243,-256.20101638604484,-262.5320736748567,0.050027855,0.14564493,0.99198395,-0.995127,2,-259.36654503045077,0.0012812861241400242,91.81896089506336,20.922518237959594,0.0027009909972548485,0.009466148912906647,3.3479165830649436,116.1028441421222,816.591570982011,6
900,4143.062,4120.7285,-40.460857,28.720745,48.437798,423.02545,3.5583098,27.898327,48.32206,419.02533,5.118816,25.034214,67.32662,999.816,-1.6834635,-1.6223967,8.547393,21.034824,-9.831055,0.15848528,0.8995275,2.9983952,-3.270055,-0.2387141,0.18891035,-0.08566724,-0.84584725,0.8333247303962708,-2.115596294403076,900,25,20.0,21.05231578710523,59,1,18.910573185915727,140.134334279938,999.8159634102491,-1.6834634227045115,378.2114637183145,511.7351680938851,1009.5558153187532,-66.10394920064736,0.09619925,0.66857606,0.99941117,-0.9992967,5,378.2114637183145,3370,27,69.71428571428571,83.04338674230868,200,4,0.8165511717236369,45.27331123960775,999.7268263709349,-1.7876548692600887,56.925281685876385,401.4097788314022,1007.1346809642913,-261.14376102347296,0.081513844,0.32508528,0.9994739,-0.9997917,7,56.925281685876385,0.0013034581206738949,128.92930990597233,38.12091503292322,0.0045098508708179,0.010882050963118672,2.8168364269658923,169.88375672581606,986.4792971406132,7
1000,4524.5215,4528.2983,-41.62175,27.084558,41.29337,291.7619,6.3504953,26.551943,41.74916,293.11255,6.6456375,31.685379,91.279785,999.8432,-1.720847,-2.854045,7.841257,26.567625,-8.649796,0.010867253,0.8108463,2.899274,-3.1285067,-0.21745427,0.1714783,-0.07864058,-0.81194425,0.8076678514480591,-2.741758108139038,1000,26,100.0,0.0,100,100,-1.3288061822577761,0.045947372877477334,-1.2301164253463257,-1.4221843561897396,-132.88061822577765,0.0,-132.88061822577765,-132.88061822577765,-0.0366335,0.70403546,0.9981469,-0.9961543,1,-132.88061822577765,3845,33,79.16666666666667,86.94905916045838,200,1,2.93500407796396,64.82027070528477,999.8139343092397,-1.7384217049307655,232.35448950548016,533.2747300147787,999.8139343092397,-261.84834231218434,-0.0499211,0.6196403,0.995841,-0.99731386,6,232.35448950548016,0.0010609570890665054,93.38327109487727,20.82940813503228,0.0033671369310468435,0.011404708959162235,3.7009930519852787,117.92950508487411,1104.4126220082399,8
1100,744.11,744.05865,-47.471584,31.520317,56.16898,505.9673,5.03607,31.610052,56.391068,507.8078,7.1152687,31.361256,62.633755,656.4333,-1.6834635,-1.7957269,8.739464,28.532139,-9.146432,-0.016666735,0.882738,3.0781007,-3.3870792,-0.2311975,0.16977455,-0.08683772,-0.7738931,0.7839736342430115,-2.867302894592285,1100,27,100.0,0.0,100,100,-1.342602415975837,0.06986833505350269,-1.1604281387108888,-1.4895872626904954,-134.2602415975837,0.0,-134.2602415975837,-134.2602415975837,-0.016212055,0.6807638,0.99669206,-0.99891514,1,-134.2602415975837,4341,40,70.85714285714286,82.64801193949567,200,5,0.7303376668858594,44.91286331139224,999.7909932845148,-1.9889318953422341,51.74964039648374,412.39689148343365,1028.129574336146,-270.96663250440145,-0.055350807,0.53523374,0.9952918,-0.9975655,7,51.74964039648374,0.0008698138408362865,119.59601014084183,13.975327546009794,0.0028016369324177504,0.007820382947102189,2.140401480952278,135.72323100152425,1240.1425394238904,9
